,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Sat Feb 10 16:12:00 2018,0.0001152,32.973190662104436,-3.046823809042126e-07,-3.156431487629828e-07,0.00011552000000000062,0.00011552000000000062,0.00011629020000000003,0.00011654259999999998,0.00011720310000000014,1
Sat Feb 10 16:14:00 2018,0.0001155,43.627777330442,-2.543988863040476e-07,-2.97846161302914e-07,0.00011550450000000063,0.00011550450000000063,0.0001162306,0.00011654099999999997,0.00011716105000000015,0
Sat Feb 10 16:15:00 2018,0.00011524,37.69612544607376,-2.51424781618322e-07,-2.885618853659956e-07,0.00011547850000000063,0.00011547850000000063,0.000116199,0.00011653529999999999,0.00011713875000000014,1
Sat Feb 10 16:16:00 2018,0.00011536,41.639977369664756,-2.366567533703312e-07,-2.7818085896686276e-07,0.00011544050000000064,0.00011544050000000064,0.0001161676,0.00011652189999999999,0.00011711715000000013,0
Sat Feb 10 16:20:00 2018,0.00011428,24.394192974516272,-3.343235621376683e-07,-2.814881509178494e-07,0.00011525050000000065,0.00011525050000000065,0.00011604599999999999,0.00011642249999999996,0.00011701390000000016,1
Sat Feb 10 16:21:00 2018,0.00011443,29.151340120860457,-3.6057613973424494e-07,-2.973057486811285e-07,0.00011519950000000065,0.00011519950000000065,0.00011600759999999998,0.00011639629999999997,0.00011698700000000015,0
Sat Feb 10 16:27:00 2018,0.00011331,18.183722123724806,-5.84615142758515e-07,-4.6348422635573827e-07,0.00011470150000000067,0.00011470150000000067,0.00011564480000000001,0.00011617489999999994,0.00011681730000000012,1
Sat Feb 10 16:34:00 2018,0.00011502,57.473241313904566,-1.9769515999438591e-07,-3.8244038833484653e-07,0.00011435400000000065,0.00011435400000000065,0.00011525019999999998,0.00011593619999999997,0.0001166635500000001,0
Sat Feb 10 16:35:00 2018,0.00011465,50.32616920855766,-1.6404839569736894e-07,-3.38761989807351e-07,0.00011432450000000064,0.00011432450000000064,0.0001152,0.00011590849999999997,0.0001166452000000001,1
Sat Feb 10 16:36:00 2018,0.00011467,50.683171144296665,-1.3422203169604372e-07,-2.9785399818508954e-07,0.00011429000000000064,0.00011429000000000064,0.0001151526,0.00011588449999999997,0.0001166264000000001,0
Sat Feb 10 16:39:00 2018,0.00011438,45.14711621635358,-1.0817221723419994e-07,-2.0587499863958367e-07,0.00011422100000000061,0.00011422100000000061,0.0001150098,0.00011581489999999997,0.00011655925000000009,1
Sat Feb 10 16:45:00 2018,0.00011587,69.75605103548665,1.5874811663403837e-07,-2.8266402889941412e-08,0.00011454200000000064,0.00011454200000000064,0.00011489519999999996,0.00011573259999999997,0.00011643115000000009,0
Sat Feb 10 16:46:00 2018,0.00011574,66.5522107287034,2.0929003463043805e-07,1.9244884614134483e-08,0.00011464900000000063,0.00011464900000000063,0.00011488759999999996,0.00011572719999999996,0.00011641310000000009,1
Sat Feb 10 16:47:00 2018,0.00011605,70.08109701859851,2.712326765406573e-07,6.964244299943905e-08,0.00011478600000000062,0.00011478600000000062,0.00011488819999999996,0.00011572319999999995,0.00011639665000000009,0
Sat Feb 10 16:48:00 2018,0.00011603,69.57111811087316,3.1507682417356844e-07,1.1872931923426493e-07,0.00011490750000000061,0.00011490750000000061,0.00011489339999999996,0.00011572089999999995,0.0001163811500000001,1
